Institution ID,Inst CRM ID,Dept Name,Department ID
Eastern Kentucky University,CD122CD4-4A00-E711-9967-0050569C00A7,Psychology,11211
Eastern Michigan University,E9A98FA9-04B2-E411-B490-0050569C00A7,Registered Course,9884
Eastern Michigan University,E9A98FA9-04B2-E411-B490-0050569C00A7,Psychology,11210
Eastern University,8D9A2B33-3D56-E911-8106-000C29A8E632,Counseling Psychology,8265
Eastern University,8D9A2B33-3D56-E911-8106-000C29A8E632,Registered Course,9885
Elms College,66C383BC-4C56-E911-8106-000C29A8E632,Communication Sciences and Disorders,8300
Elms College,66C383BC-4C56-E911-8106-000C29A8E632,Registered Course,9886
Emirates College for Advanced Education,ABED38A3-4D56-E911-8106-000C29A8E632,"Counseling, Special Education and Neuroscience",8282
Emirates College for Advanced Education,ABED38A3-4D56-E911-8106-000C29A8E632,Registered Course,9887
Endicott College,2758E065-6200-E411-BEB5-00505683000D,Department of Special Education,8463
Endicott College,2758E065-6200-E411-BEB5-00505683000D,Education,8647
Endicott College,2758E065-6200-E411-BEB5-00505683000D,Registered Course,9888
Endicott College,2758E065-6200-E411-BEB5-00505683000D,Special Education,10907
Endicott College,2758E065-6200-E411-BEB5-00505683000D,,11922
"Faculdade INESP - Grupo Método, São Paulo",6E82BD46-F6C6-E711-B1D2-000D3A30C887,Registered Course,9889
Fairleigh Dickinson University,,Registered Course,9890
Fairleigh Dickinson University,,,11923
Fanshawe College,,Registered Course,10204
Fanshawe College,,,11924
Federal University of Sao Carlos,28034D7E-D656-E911-8106-000C29A8E632,Psychology,8562
Federal University of Sao Carlos,28034D7E-D656-E911-8106-000C29A8E632,Registered Course,9891
Federal University of Sao Carlos,28034D7E-D656-E911-8106-000C29A8E632,,11925
Federal University of São Carlos,28034D7E-D656-E911-8106-000C29A8E632,Psychology,11208
Felician University,C9AFD37F-DE56-E911-8106-000C29A8E632,School of Education,8352
Felician University,C9AFD37F-DE56-E911-8106-000C29A8E632,UnNamedDepartment,8493
Felician University,C9AFD37F-DE56-E911-8106-000C29A8E632,Registered Course,9892
Felician University,C9AFD37F-DE56-E911-8106-000C29A8E632,Special Education,10207
Fitchburg State University,056E9E96-DF56-E911-8106-000C29A8E632,Education,8615
Fitchburg State University,056E9E96-DF56-E911-8106-000C29A8E632,Registered Course,9893
Fitchburg State University,056E9E96-DF56-E911-8106-000C29A8E632,,11926
